Date, Room, Address
Wed 24/02, room 6 , P.zza Martiri della Libertà 33
 Wed 03/03, room 3 , P.zza Martiri della Libertà 33
 Wed 10/03, room 14, via Maffi 27
 Wed 17/03, room 3 , P.zza Martiri della Libertà 33
 Wed 24/03, room 6 , P.zza Martiri della Libertà 33
 Wed 31/03, room 14, via Maffi 27
 Wed 14/04, room 3 , P.zza Martiri della Libertà 33
 Wed 21/04, room 3 , P.zza Martiri della Libertà 33
 Wed 28/04, room 3 , P.zza Martiri della Libertà 33
 Wed 05/05, room 14, via Maffi 27
 Wed 12/05, room 3 , P.zza Martiri della Libertà 33
 Wed 19/05, room 3 , P.zza Martiri della Libertà 33
